Symbol,train_rows,val_rows,test_rows,total_rows
clfd,2459,252,450,3161
clgx,2479,252,450,3181
clh,2479,252,450,3181
cli,2479,252,450,3181
clir,676,252,450,1378
clm,2479,252,450,3181
clmt,2249,252,450,2951
clne,1915,252,450,2617
clnt,891,249,450,1590
clr,1923,252,450,2625
clrb,1321,248,450,2019
clro,2403,252,438,3093
cls,2479,252,450,3181
clsn,2479,252,450,3181
club,2161,252,450,2863
clvs,783,252,450,1485
clw,1527,252,450,2229
clwt,2312,201,357,2870
clx,8014,252,450,8716
cm,2479,252,450,3181
cma,6241,252,450,6943
cma-ws,1090,238,392,1720
cmc,2479,252,450,3181
cmco,2479,252,450,3181
cmcsa,6674,252,450,7376
cmct,2478,227,422,3127
cmd,2479,252,450,3181
cme,2479,252,450,3181
cmg,2249,252,450,2951
cmi,7563,252,450,8265
cmls,2478,252,450,3180
cmo,2479,252,450,3181
cmo_e,410,252,450,1112
cmp,2479,252,450,3181
cmpr,2329,252,450,3031
cmre,1043,252,450,1745
cmrx,436,252,450,1138
cms,7558,252,450,8260
cms_b,850,183,340,1373
cmt,2461,252,450,3163
cmtl,2479,252,450,3181
cmu,2479,252,450,3181
cna,2479,252,450,3181
cnat,363,252,450,1065
cnbka,2357,249,449,3055
cnc,2479,252,450,3181
cnet,1373,252,449,2074
cnhi,317,252,450,1019
cni,2479,252,450,3181
cnit,2005,252,450,2707
cnk,1938,252,450,2640
cnmd,2479,252,450,3181
cno,2479,252,450,3181
cnob,2472,252,450,3174
cnp,11350,252,450,12052
cnq,2479,252,450,3181
cns,2479,252,450,3181
cnsl,2378,252,450,3080
cntf,2431,252,449,3132
cnty,2479,252,450,3181
cnx,2479,252,450,3181
cnxn,2479,252,450,3181
co,1533,252,450,2235
cobz,2479,252,450,3181
codi,2176,252,450,2878
cof,5062,252,450,5764
cof-ws,1095,245,431,1771
cof_p,592,252,450,1294
cog,2479,252,450,3181
cogt,1579,252,450,2281
cohn,2475,250,432,3157
cohr,2479,252,450,3181
cohu,2479,252,450,3181
coke,2479,252,450,3181
col,3393,252,450,4095
colb,2479,252,450,3181
colm,2479,252,450,3181
comm,298,252,450,1000
cone,492,252,450,1194
conn,2479,252,450,3181
coo,2479,252,450,3181
cool,2479,251,449,3179
cop,8319,252,450,9021
cor,1073,252,450,1775
cor_a,499,220,394,1113
core,2360,252,450,3062
corr,1992,252,449,2693
cort,2476,252,450,3178
cost,7181,252,450,7883
cot,2479,252,450,3181
coty,392,252,450,1094
cown,2133,252,450,2835
cp,2479,252,450,3181
cpa,2276,252,450,2978
cpac,719,251,437,1407
cpah,597,243,394,1234
cpb,7437,252,450,8139
cpe,2479,252,450,3181
cpe_a,400,252,449,1101
cpf,2479,252,450,3181
cpg,2110,252,450,2812
cphc,2203,224,371,2798
cphi,2241,250,448,2939
cpix,1357,252,444,2053
cpk,2479,252,450,3181
cpl,2479,252,450,3181
cpla,2048,252,450,2750
cplp,1954,252,450,2656
cpn,1756,252,450,2458
cprt,2479,252,450,3181
cprx,2023,252,450,2725
cps,300,252,450,1002
cpsi,2479,252,450,3181
cpss,2477,252,450,3179
cpst,2479,252,450,3181
cpt,2479,252,450,3181
cpta,320,252,450,1022
cqh,264,252,450,966
cqp,1961,252,450,2663
cr,7601,252,450,8303
crai,2479,252,450,3181
cray,2479,252,450,3181
crd-a,1096,251,450,1797
crd-b,1097,252,450,1799
cree,2479,252,450,3181
creg,2207,252,450,2909
cresy,2479,252,450,3181
crf,2479,252,450,3181
crh,2479,252,450,3181
cri,2479,252,450,3181
cris,2479,252,450,3181
crk,2479,252,450,3181
crl,2479,252,450,3181
crm,2479,252,450,3181
crmd,1123,252,450,1825
crme,2478,252,450,3180
crmt,2479,252,450,3181
crnt,2479,252,450,3181
crox,2240,252,450,2942
crr,2479,252,450,3181
crs,2479,252,450,3181
crt,2478,252,450,3180
